Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220726;14;22229;22285,525
20220726;15;22314;22008,450
20220726;16;22266;21913,763
20220726;17;21800;21522,650
20220726;18;21627;21087,250
20220726;19;21193;20782,600
20220726;20;20825;20718,975
20220726;21;20712;20789,600
20220726;22;20413;20381,063
20220726;23;19518;19103,850
20220726;24;17586;17794,150
20220727;1;17354;16573,275
20220727;2;16588;15927,825
20220727;3;16276;15749,975
20220727;4;16125;15665,688
20220727;5;15960;15728,238
20220727;6;16199;15753,388
20220727;7;18421;17780,725
20220727;8;20253;19717,650
20220727;9;21358;20742,888
20220727;10;21857;21120,575
20220727;11;21803;21224,113
20220727;12;22170;21086,950
20220727;13;22346;20922,575
20220727;14;22285;21142,638
20220727;15;22048;20762,713
20220727;16;22172;20746,975
20220727;17;22035;20691,288
20220727;18;21914;20581,500
20220727;19;21696;20356,288
20220727;20;21659;20483,788
20220727;21;21662;20557,038
20220727;22;21466;20409,750
20220727;23;20146;19087,388
20220727;24;18604;17651,088
20220728;1;17018;16405,538
20220728;2;16173;15776,975
20220728;3;15929;15529,175
20220728;4;15906;15418,325
20220728;5;15873;15451,663
20220728;6;16026;15607,463
20220728;7;18192;17571,738
20220728;8;20017;19242,625
20220728;9;21019;20258,925
20220728;10;21571;20333,663
20220728;11;21613;20526,363
20220728;12;21988;20820,813
20220728;13;22206;20908,450
20220728;14;22218;20987,350
20220728;15;21973;20717,600
20220728;16;22040;20677,925
20220728;17;21784;20673,388
20220728;18;21418;20531,325
20220728;19;21158;20514,038
20220728;20;21164;20610,313
20220728;21;21193;20697,475
20220728;22;20967;20453,338
20220728;23;19576;19025,425
20220728;24;18159;17550,588
20220729;1;16640;16295,063
20220729;2;15906;15794,325
20220729;3;15685;15374,625
20220729;4;15603;15292,550
20220729;5;15601;15269,513
20220729;6;15840;15334,863
20220729;7;17899;17266,550
20220729;8;19681;19330,738
20220729;9;20774;20479,750
20220729;10;21068;20877,475
20220729;11;21174;20678,263
20220729;12;21610;21237,688
20220729;13;21707;21346,888
20220729;14;21813;21208,225
20220729;15;21484;20743,875
20220729;16;21462;21006,675
20220729;17;21255;20836,563
20220729;18;21067;20436,788
20220729;19;20856;20370,650
20220729;20;20855;20493,200
20220729;21;20905;20359,300
20220729;22;20627;20115,175
20220729;23;19195;18799,963
20220729;24;17757;17511,263
20220730;1;16950;16394,300
20220730;2;16150;15559,563
20220730;3;15600;15040,913
20220730;4;15450;14917,988
20220730;5;15100;14811,925
20220730;6;14800;14376,100
20220730;7;16650;15282,150
20220730;8;17850;16360,863
20220730;9;19050;17635,888
20220730;10;19500;18591,375
20220730;11;19750;18993,638
20220730;12;19850;19266,163
20220730;13;19800;19051,025
20220730;14;19550;19008,488
20220730;15;19150;18717,700
20220730;16;18850;18432,888
20220730;17;18700;18359,563
20220730;18;18500;18248,163
20220730;19;18350;18043,675
20220730;20;18250;18017,263
20220730;21;18700;18109,300
20220730;22;18650;17849,675
20220730;23;17850;16929,563
20220730;24;16600;15713,363
20220731;1;15500;14668,688
20220731;2;14650;14147,775
20220731;3;14149;13771,313
20220731;4;13850;13548,163
20220731;5;13550;13438,263
20220731;6;13151;13051,913
20220731;7;14150;13364,025
20220731;8;15100;13957,013
20220731;9;16050;14740,175
20220731;10;16900;15733,088
20220731;11;17250;16378,513
20220731;12;17300;16690,563
20220731;13;17300;16740,700
20220731;14;17403;16542,300
20220731;15;16950;16295,975
20220731;16;16892;16153,375
20220731;17;16850;16123,450
20220731;18;17042;16256,438
20220731;19;17350;16552,025
20220731;20;17400;16722,288
20220731;21;17768;17016,050
20220731;22;17915;17146,688
20220731;23;17492;16474,575
20220731;24;16450;15334,788
20220801;1;15074;14431,200
20220801;2;14470;13939,988
20220801;3;13996;13630,113
20220801;4;14011;13770,575
20220801;5;14189;13887,750
20220801;6;15509;14260,638
20220801;7;18276;16703,500
20220801;8;20091;18813,875
20220801;9;21032;19950,213
20220801;10;21306;20475,588
20220801;11;21669;20514,425
20220801;12;21876;20518,838
20220801;13;22008;20630,638
20220801;14;22098;20690,850
20220801;15;21616;20303,550
20220801;16;21490;20502,513
20220801;17;21306;20569,275
20220801;18;21059;20377,088
20220801;19;20878;20132,150
20220801;20;20855;20293,525
20220801;21;21150;20530,763
20220801;22;21081;20215,775
20220801;23;19600;18798,213
20220801;24;18242;17366,013
20220802;1;16800;16218,550
20220802;2;16150;15584,150
20220802;3;15650;15258,088
20220802;4;15625;15266,013
20220802;5;15674;15223,038
20220802;6;16400;15403,763
20220802;7;19050;17579,225
20220802;8;20473;19536,563
20220802;9;21301;20750,763
20220802;10;21541;20953,375
20220802;11;21709;21079,063
20220802;12;21950;21431,450
20220802;13;22100;21204,913
20220802;14;22250;21220,613
20220802;15;21700;20976,438
20220802;16;21579;21036,800
20220802;17;21276;20856,688
20220802;18;21081;20808,775
20220802;19;20967;20496,850
20220802;20;21050;20539,575
20220802;21;21200;20867,550
20220802;22;21075;20595,288
20220802;23;19586;19086,975
20220802;24;18245;17553,825
20220803;1;16950;16323,925
20220803;2;16250;15621,925
20220803;3;15900;15297,400
20220803;4;15800;15225,825
20220803;5;15800;15341,750
20220803;6;16500;15483,700
20220803;7;19200;17696,625
20220803;8;20800;19547,638
20220803;9;21650;20783,100
20220803;10;21800;21292,488
20220803;11;22100;21210,613
20220803;12;22100;21633,888
20220803;13;22500;21726,113
20220803;14;22650;21691,825
20220803;15;22100;21267,638
20220803;16;22100;21212,788
20220803;17;21850;21381,813
20220803;18;21550;21322,613
20220803;19;21400;21194,175
20220803;20;21400;21088,513
20220803;21;21600;21276,050
20220803;22;21550;20825,513
20220803;23;20000;19313,225
20220803;24;18750;17725,663
20220804;1;17100;16538,913
20220804;2;16300;15803,088
20220804;3;15950;15490,500
20220804;4;15900;15390,888
20220804;5;15900;15441,538
20220804;6;16700;15514,200
20220804;7;19550;17632,363
20220804;8;21200;19902,663
20220804;9;22000;21167,150
20220804;10;22154;21530,825
20220804;11;22450;21462,950
20220804;12;22650;21620,800
20220804;13;23000;21714,700
20220804;14;23050;21705,763
20220804;15;22650;21356,425
20220804;16;22650;21522,375
20220804;17;22500;21524,913
20220804;18;22300;21571,575
20220804;19;21850;21346,775
20220804;20;21900;21304,413
20220804;21;22050;21200,475
20220804;22;22050;20877,113
20220804;23;20550;19350,750
20220804;24;19250;17851,800
20220805;1;16900;16599,838
20220805;2;16000;15938,575
20220805;3;15600;15684,013
20220805;4;15550;15501,825
20220805;5;15550;15581,325
20220805;6;16550;15654,963
20220805;7;19300;17638,688
20220805;8;21000;19922,425
20220805;9;22050;21192,225
20220805;10;22400;21583,325
20220805;11;22700;21547,013
20220805;12;22900;21857,100
20220805;13;23200;21904,350
20220805;14;23200;21884,513
20220805;15;22800;21499,300
20220805;16;22800;21694,500
20220805;17;22700;21779,438
20220805;18;22500;21744,013
20220805;19;21950;21517,700
20220805;20;21950;21372,225
20220805;21;21900;21235,313
20220805;22;21850;20878,125
20220805;23;20400;19442,850
20220805;24;18950;18113,575
20220806;1;17400;16818,775
20220806;2;16450;16098,125
20220806;3;15900;15594,975
20220806;4;15700;15482,213
20220806;5;15400;15289,213
20220806;6;15200;14915,650
20220806;7;16550;15526,450
20220806;8;17950;16564,850
20220806;9;19100;17713,525
20220806;10;19500;18552,288
20220806;11;19700;18954,813
20220806;12;19700;18900,263
20220806;13;19700;18769,350
20220806;14;19650;18460,550
20220806;15;19250;17963,675
20220806;16;19000;17770,100
20220806;17;18800;17577,663
20220806;18;18600;17547,813
20220806;19;18400;17585,388
20220806;20;18250;17593,625
20220806;21;18250;17759,000
20220806;22;18250;17776,825
20220806;23;17700;16557,525
20220806;24;16450;15509,963
20220807;1;15050;14431,263
20220807;2;14400;13938,400
20220807;3;13900;13645,713
20220807;4;13650;13467,525
20220807;5;13450;13195,463
20220807;6;13000;12759,913
20220807;7;13800;13014,013
20220807;8;14650;13784,225
20220807;9;15550;14883,788
20220807;10;16100;15331,275
20220807;11;16400;15384,100
20220807;12;16500;15504,200
20220807;13;16500;15839,625
20220807;14;16500;15785,863
20220807;15;16500;15507,025
20220807;16;16400;15420,675
20220807;17;16200;15216,525
20220807;18;16150;15690,150
20220807;19;16500;16244,538
20220807;20;16950;16440,588
20220807;21;17500;16878,038
20220807;22;17550;17107,188
20220807;23;16850;16480,688
20220807;24;16000;15351,113
20220808;1;14800;14448,625
20220808;2;14100;13936,950
20220808;3;13700;13693,400
20220808;4;13850;13723,163
20220808;5;14000;13991,588
20220808;6;15550;14382,175
20220808;7;18200;16854,775
20220808;8;19800;18957,300
20220808;9;20750;20248,700
20220808;10;21000;20892,088
20220808;11;21300;20889,913
20220808;12;21350;21166,800
20220808;13;21600;21332,775
20220808;14;21700;21130,200
20220808;15;21250;20966,988
20220808;16;21200;20812,488
20220808;17;21150;20811,038
20220808;18;20973;20727,200
20220808;19;20650;20446,125
20220808;20;20750;20672,163
20220808;21;21050;21027,575
20220808;22;20900;20547,988
20220808;23;19400;18880,350
20220808;24;18000;17494,988
20220809;1;16550;16351,363
20220809;2;15750;15721,500
20220809;3;15400;15371,700
20220809;4;15350;15366,588
20220809;5;15350;15461,413
20220809;6;16150;15611,575
20220809;7;19000;17710,975
20220809;8;20550;19677,813
20220809;9;21450;20675,763
20220809;10;21604;21132,200
20220809;11;21900;21281,325
20220809;12;22200;21490,150
20220809;13;22300;21449,350
20220809;14;22400;21236,425
20220809;15;21750;21057,500
20220809;16;21750;21202,775
20220809;17;21600;20991,488
20220809;18;21400;20876,800
20220809;19;21097;20666,263
20220809;20;21050;20702,050
20220809;21;21450;21081,263
20220809;22;21300;20596,213
20220809;23;19701;19017,788
20220809;24;18300;17470,425
20220810;1;16500;16374,700
20220810;2;15700;15768,825
20220810;3;15350;15433,275
20220810;4;15300;15378,325
20220810;5;15300;15606,238
20220810;6;16100;15686,975
20220810;7;18950;17701,263
